position1,position2,t(s),position1_corr,position2_corr
1.201171875,1.142578125,0.444434881210327,-0.528564453125,-0.53955078125
1.201171875,1.143798828125,0.95637845993042,-0.528564453125,-0.538330078125
1.201171875,1.142578125,1.21233320236206,-0.528564453125,-0.53955078125
1.201171875,1.142578125,1.46824908256531,-0.528564453125,-0.53955078125
1.201171875,1.142578125,1.72427797317505,-0.528564453125,-0.53955078125
1.201171875,1.143798828125,1.98023462295532,-0.528564453125,-0.538330078125
1.201171875,1.143798828125,2.23610615730286,-0.528564453125,-0.538330078125
1.201171875,1.142578125,2.49213886260986,-0.528564453125,-0.53955078125
1.201171875,1.143798828125,2.7480673789978,-0.528564453125,-0.538330078125
1.201171875,1.143798828125,3.00406455993652,-0.528564453125,-0.538330078125
1.201171875,1.142578125,3.25990629196167,-0.528564453125,-0.53955078125
1.201171875,1.142578125,3.51588010787964,-0.528564453125,-0.53955078125
1.201171875,1.143798828125,3.77190589904785,-0.528564453125,-0.538330078125
1.201171875,1.142578125,4.02781629562378,-0.528564453125,-0.53955078125
1.201171875,1.143798828125,4.2837290763855,-0.528564453125,-0.538330078125
1.201171875,1.143798828125,4.5397207736969,-0.528564453125,-0.538330078125
1.201171875,1.143798828125,4.79563236236572,-0.528564453125,-0.538330078125
1.201171875,1.142578125,5.05167555809021,-0.528564453125,-0.53955078125
1.20361328125,1.146240234375,5.5635974407196,-0.526123046875,-0.535888671875
1.21337890625,1.153564453125,5.81951093673706,-0.516357421875,-0.528564453125
1.2158203125,1.162109375,6.07550835609436,-0.513916015625,-0.52001953125
1.220703125,1.171875,6.33133697509766,-0.509033203125,-0.51025390625
1.229248046875,1.180419921875,6.58735871315002,-0.50048828125,-0.501708984375
1.239013671875,1.19140625,6.84326362609863,-0.49072265625,-0.49072265625
1.25,1.201171875,7.09923124313355,-0.479736328125,-0.48095703125
1.259765625,1.207275390625,7.61142516136169,-0.469970703125,-0.474853515625
1.260986328125,1.20849609375,7.86721706390381,-0.46875,-0.4736328125
1.260986328125,1.20849609375,8.12319087982178,-0.46875,-0.4736328125
1.26220703125,1.20849609375,8.37902688980103,-0.467529296875,-0.4736328125
1.26220703125,1.209716796875,8.63501167297363,-0.467529296875,-0.472412109375
1.26220703125,1.209716796875,8.89092135429382,-0.467529296875,-0.472412109375
1.263427734375,1.209716796875,9.14687991142273,-0.46630859375,-0.472412109375
1.263427734375,1.209716796875,9.40290546417236,-0.46630859375,-0.472412109375
1.263427734375,1.2109375,9.65886497497559,-0.46630859375,-0.47119140625
1.263427734375,1.2109375,9.91479659080505,-0.46630859375,-0.47119140625
1.263427734375,1.2109375,10.1707980632782,-0.46630859375,-0.47119140625
1.263427734375,1.2109375,10.4267296791077,-0.46630859375,-0.47119140625
1.263427734375,1.2109375,10.6826593875885,-0.46630859375,-0.47119140625
1.2646484375,1.2109375,10.9385795593262,-0.465087890625,-0.47119140625
1.2646484375,1.2109375,11.1945295333862,-0.465087890625,-0.47119140625
1.2646484375,1.2109375,11.4505281448364,-0.465087890625,-0.47119140625
1.2646484375,1.2109375,11.7066116333008,-0.465087890625,-0.47119140625
1.2646484375,1.2109375,11.9625556468964,-0.465087890625,-0.47119140625
1.2646484375,1.2109375,12.2183837890625,-0.465087890625,-0.47119140625
1.268310546875,1.221923828125,12.7303795814514,-0.46142578125,-0.460205078125
1.280517578125,1.23291015625,12.9862837791443,-0.44921875,-0.44921875
1.290283203125,1.24267578125,13.2421839237213,-0.439453125,-0.439453125
1.298828125,1.25244140625,13.4981541633606,-0.430908203125,-0.4296875
1.307373046875,1.26220703125,13.7542943954468,-0.42236328125,-0.419921875
1.318359375,1.273193359375,14.0102150440216,-0.411376953125,-0.408935546875
1.328125,1.279296875,14.5219950675964,-0.401611328125,-0.40283203125
1.329345703125,1.279296875,14.7779295444489,-0.400390625,-0.40283203125
1.33056640625,1.280517578125,15.0338678359985,-0.399169921875,-0.401611328125
1.33056640625,1.280517578125,15.2898154258728,-0.399169921875,-0.401611328125
1.33056640625,1.28173828125,15.5458333492279,-0.399169921875,-0.400390625
1.331787109375,1.28173828125,15.8017559051514,-0.39794921875,-0.400390625
1.331787109375,1.28173828125,16.0577108860016,-0.39794921875,-0.400390625
1.331787109375,1.28173828125,16.3136756420136,-0.39794921875,-0.400390625
1.331787109375,1.28173828125,16.5695843696594,-0.39794921875,-0.400390625
1.331787109375,1.282958984375,16.8255426883698,-0.39794921875,-0.399169921875
1.331787109375,1.282958984375,17.0815374851227,-0.39794921875,-0.399169921875
1.331787109375,1.282958984375,17.3374929428101,-0.39794921875,-0.399169921875
1.331787109375,1.282958984375,17.5935070514679,-0.39794921875,-0.399169921875
1.331787109375,1.282958984375,17.8494136333466,-0.39794921875,-0.399169921875
1.3330078125,1.282958984375,18.1054270267487,-0.396728515625,-0.399169921875
1.3330078125,1.282958984375,18.3612732887268,-0.396728515625,-0.399169921875
1.3330078125,1.282958984375,18.6172029972076,-0.396728515625,-0.399169921875
1.3330078125,1.282958984375,18.8732442855835,-0.396728515625,-0.399169921875
1.3330078125,1.282958984375,19.1292278766632,-0.396728515625,-0.399169921875
1.336669921875,1.295166015625,19.6410682201385,-0.39306640625,-0.386962890625
1.348876953125,1.304931640625,19.8970234394074,-0.380859375,-0.377197265625
1.358642578125,1.3134765625,20.1530182361603,-0.37109375,-0.36865234375
1.36962890625,1.324462890625,20.4089484214783,-0.360107421875,-0.357666015625
1.37939453125,1.33544921875,20.6648716926575,-0.350341796875,-0.3466796875
1.390380859375,1.346435546875,20.9207856655121,-0.33935546875,-0.335693359375
1.4013671875,1.357421875,21.1767921447754,-0.328369140625,-0.32470703125
1.41357421875,1.365966796875,21.6889834403992,-0.316162109375,-0.316162109375
1.416015625,1.365966796875,21.9447090625763,-0.313720703125,-0.316162109375
1.416015625,1.3671875,22.20063829422,-0.313720703125,-0.31494140625
1.416015625,1.3671875,22.4565262794495,-0.313720703125,-0.31494140625
1.416015625,1.3671875,22.7125172615051,-0.313720703125,-0.31494140625
1.416015625,1.3671875,22.9685530662537,-0.313720703125,-0.31494140625
1.417236328125,1.368408203125,23.2244153022766,-0.3125,-0.313720703125
1.417236328125,1.368408203125,23.4804203510284,-0.3125,-0.313720703125
1.41845703125,1.368408203125,23.7363412380218,-0.311279296875,-0.313720703125
1.41845703125,1.368408203125,23.9922869205475,-0.311279296875,-0.313720703125
1.41845703125,1.36962890625,24.2482123374939,-0.311279296875,-0.3125
1.41845703125,1.36962890625,24.5041518211365,-0.311279296875,-0.3125
1.41845703125,1.36962890625,24.7601711750031,-0.311279296875,-0.3125
1.419677734375,1.36962890625,25.016051530838,-0.31005859375,-0.3125
1.419677734375,1.36962890625,25.2720685005188,-0.31005859375,-0.3125
1.419677734375,1.36962890625,25.5284075736999,-0.31005859375,-0.3125
1.419677734375,1.36962890625,25.7840855121613,-0.31005859375,-0.3125
