time,xx_strain,yy_strain,xy_strain,measured_pos,measured_x,calculated_x,calculated_y
56,0.009412548504769802,-0.005612851586192846,0.0011120263952761889,0.18079969618055558,0.031994910144805946,0.03758683583523478,0.0025967030559461545
63,0.01961313560605049,-0.013411575928330421,0.0016941794892773032,0.3618706597222222,0.08209994306564335,0.08283174029699777,0.00432256637948202
70,0.02732357382774353,-0.019318444654345512,0.0020226126071065664,0.49856085526315785,0.11627187838554391,0.1181887337265691,0.0055845805312372656
77,0.035723038017749786,-0.02683255821466446,0.0020453943870961666,0.6585015190972222,0.16552563538551332,0.1655256256328316,0.005901435750722615
84,0.04255030304193497,-0.03447900712490082,0.00191383040510118,0.7969263980263158,0.20684617688655849,0.20431236897284702,0.004913708616496072
91,0.05077337473630905,-0.04391693323850632,0.0010152007453143597,0.96844482421875,0.26580916037559504,0.25980224837289384,0.004345296595817151
98,0.058352574706077576,-0.05248824506998062,1.0558333087828942e-05,1.1412931743421053,0.32036543598175043,0.31776404426447474,-0.0010757419309662414
105,0.06456224620342255,-0.0631500855088234,-0.002012538956478238,1.305445620888158,0.36976364245414745,0.3670640120308941,-0.009712330135694688
112,0.06936713308095932,-0.07213078439235687,-0.0027077726554125547,1.46185302734375,0.41928128590583813,0.4239537871977711,-0.013947475905521515
