time,xx_strain,yy_strain,xy_strain,measured_pos,measured_x,calculated_x,calculated_y
35,0.009774792473763227,-0.003396835527382791,0.0020069291349500418,0.43246799045138884,0.03962581406879428,0.03962581420142492,0.006132572384006024
42,0.017928635701537132,-0.006781870266422629,0.0036376327043399215,0.5743729440789473,0.07065380405235291,0.07684845108459346,0.011766603871856074
49,0.02681031823158264,-0.010735532734543085,0.0052403612062335014,0.7263861762152777,0.11419434021759038,0.1230149439323299,0.018284241019789847
56,0.03645213134586811,-0.01599726267158985,0.006674804259091616,0.9052191840277777,0.18751568328189855,0.18761752543057192,0.028654528806599733
63,0.04434796795248985,-0.020483991131186485,0.007865747902542353,1.0498046875,0.25987613748359684,0.2501662462282166,0.0353956581268498
70,0.05269835516810417,-0.025210517458617687,0.009480732958763838,1.2086995442708333,0.3538214845542907,0.338481877962595,0.048084843801004494
77,0.060891272500157356,-0.03023646865040064,0.010524733923375607,1.3680691189236112,0.46130835245895374,0.4568320290986976,0.06210879251100182
84,0.06838987022638321,-0.03502199240028858,0.011235161684453487,1.520546361019737,0.5786343653087616,0.5621701763017044,0.08452596202588829
91,0.07497893273830414,-0.040893007069826126,0.011952210683375597,1.6877826891447367,0.7241064901237491,0.7615655316093598,0.10080119087725661
