t(s),F(N),F_corr(N)
0.000819206237792969,0.690762400627136,-0.0343495993728637
0.0506875514984131,0.678255259990692,-0.0468567400093078
0.100690126419067,0.699523985385895,-0.0255880146141052
0.15069842338562,0.681162655353546,-0.0439493446464538
0.200716972351074,0.695005714893341,-0.0301062851066589
0.250727891921997,0.674837052822113,-0.0502749471778869
0.300706624984741,0.692229211330414,-0.0328827886695862
0.350685119628906,0.682996213436127,-0.0421157865638733
0.400682687759399,0.697585701942444,-0.0275262980575561
0.450682640075684,0.684724926948547,-0.0403870730514526
0.500701189041138,0.696066498756409,-0.0290455012435913
0.550680637359619,0.690369546413422,-0.0347424535865783
0.600699186325073,0.693132877349854,-0.0319791226501465
0.650694131851196,0.674588263034821,-0.0505237369651794
0.70076584815979,0.694508016109467,-0.0306039838905334
0.750727653503418,0.673278570175171,-0.0518334298248291
0.800705432891846,0.698672771453857,-0.0264392285461426
0.850694417953491,0.672820210456848,-0.0522917895431518
0.900697231292725,0.694769978523254,-0.0303420214767456
0.950693368911743,0.673763155937195,-0.0513488440628052
1.00070357322693,0.69144344329834,-0.0336685567016601
1.05070090293884,0.681725800037384,-0.0433861999626159
1.10072445869446,0.696760594844818,-0.0283514051551819
1.15069913864136,0.68092691898346,-0.0441850810165405
1.20070481300354,0.695712864398956,-0.0293991356010437
1.25070881843567,0.678438663482666,-0.046673336517334
1.30074429512024,0.696118891239166,-0.0289931087608337
1.350741147995,0.672702312469482,-0.0524096875305176
1.40070819854736,0.694494962692261,-0.0306170373077392
1.45072889328003,0.673880994319916,-0.0512310056800842
1.50070357322693,0.685471415519714,-0.0396405844802856
1.5507082939148,0.672636866569519,-0.0524751334304809
1.60070943832397,0.695359289646149,-0.0297527103538513
1.65070819854736,0.679682791233063,-0.0454292087669372
1.70071244239807,0.703596949577332,-0.0215150504226684
1.75070953369141,0.671484351158142,-0.0536276488418579
1.80070972442627,0.693735301494598,-0.0313766985054016
1.85071563720703,0.674417972564697,-0.0506940274353027
1.90071678161621,0.69497948884964,-0.0301325111503601
1.95073246955872,0.682184159755707,-0.0429278402442932
2.00071120262146,0.694481790065765,-0.0306302099342346
2.05072379112244,0.676998019218445,-0.0481139807815552
2.10071206092834,0.691980421543121,-0.0331315784568786
2.15072154998779,0.671968936920166,-0.053143063079834
2.20072031021118,0.69831907749176,-0.0267929225082397
2.25071549415588,0.679302990436554,-0.045809009563446
2.30071902275085,0.695843875408173,-0.0292681245918274
2.35071420669556,0.683035492897034,-0.0420765071029663
2.40071392059326,0.701108694076538,-0.0240033059234619
2.45072722434998,0.676670610904694,-0.0484413890953064
2.50071597099304,0.693604409694672,-0.0315075903053283
2.5507173538208,0.680468559265137,-0.0446434407348633
2.60071706771851,0.69467830657959,-0.0304336934204101
2.6507260799408,0.679250597953796,-0.0458614020462036
2.70072722434998,0.69266140460968,-0.0324505953903198
2.75071811676025,0.683231890201569,-0.0418801097984314
2.80072093009949,0.691836357116699,-0.0332756428833008
2.85071873664856,0.67680150270462,-0.0483104972953796
2.90072345733643,0.695791482925415,-0.0293205170745849
2.95072412490845,0.677286148071289,-0.0478258519287109
3.00072073936462,0.695621252059937,-0.0294907479400635
3.05072426795959,0.680874526500702,-0.0442374734992981
3.1007251739502,0.6921506524086,-0.0329613475914001
3.15072202682495,0.677495658397675,-0.0476163416023254
3.20073008537292,0.697061896324158,-0.0280501036758423
3.25072073936462,0.682590186595917,-0.0425218134040832
3.3007230758667,0.696446359157562,-0.0286656408424377
3.35073208808899,0.684855878353119,-0.0402561216468811
3.40073728561401,0.699969291687012,-0.0251427083129883
3.45073294639587,0.671340346336365,-0.0537716536636352
3.5007209777832,0.694102048873901,-0.0310099511260986
3.55072474479675,0.676028907299042,-0.0490830927009582
3.60072493553162,0.693879425525665,-0.0312325744743347
3.65072178840637,0.668472170829773,-0.056639829170227
3.70072269439697,0.691783964633942,-0.0333280353660583
3.75072264671326,0.671379566192627,-0.053732433807373
3.80072069168091,0.693119764328003,-0.031992235671997
3.85072803497314,0.678543329238892,-0.0465686707611084
3.90072107315063,0.68811696767807,-0.0369950323219299
3.95072627067566,0.680154263973236,-0.0449577360267639
4.00072264671326,0.692884087562561,-0.0322279124374389
4.05072402954102,0.675387144088745,-0.0497248559112549
4.10072731971741,0.699812114238739,-0.025299885761261
4.15073990821838,0.674627482891083,-0.0504845171089172
4.20075154304504,0.701986134052277,-0.0231258659477234
4.25074672698975,0.686610877513886,-0.0385011224861145
4.30074167251587,0.6976118683815,-0.0275001316184997
4.35073614120483,0.683192670345306,-0.0419193296546936
4.4007408618927,0.698004841804504,-0.0271071581954956
4.45073628425598,0.677862346172333,-0.0472496538276672
4.50073599815369,0.701239585876465,-0.0238724141235351
4.55073738098145,0.673645317554474,-0.0514666824455261
4.60074186325073,0.694128215312958,-0.0309837846870422
4.65073776245117,0.680285155773163,-0.0448268442268371
4.70073747634888,0.695739090442658,-0.0293729095573425
4.75073742866516,0.680678129196167,-0.044433870803833
4.80073738098145,0.704186320304871,-0.0209256796951294
4.85074210166931,0.677076578140259,-0.0480354218597412
4.90074253082275,0.699379920959473,-0.0257320790405273
4.95073652267456,0.68467253446579,-0.0404394655342102
5.00073647499085,0.699248969554901,-0.0258630304450989
5.05073738098145,0.677665948867798,-0.0474460511322021
5.10073804855347,0.698122680187225,-0.0269893198127746
5.15073704719543,0.682930707931519,-0.0421812920684814
5.20073819160461,0.689989745616913,-0.0351222543830871
5.25073909759522,0.668642401695251,-0.0564695983047485
5.30074381828308,0.693119764328003,-0.031992235671997
5.35074758529663,0.669637739658356,-0.0554742603416443
5.40075087547302,0.698148846626282,-0.0269631533737182
5.45078754425049,0.680363774299622,-0.0447482257003784
5.50077700614929,0.692936480045319,-0.0321755199546814
5.55077528953552,0.667568504810333,-0.0575434951896667
5.60075092315674,0.680141150951386,-0.0449708490486145
5.65076899528503,0.68113648891449,-0.0439755110855102
5.70076751708984,0.690762400627136,-0.0343495993728637
5.75075221061707,0.674876391887665,-0.0502356081123352
5.80074810981751,0.707159221172333,-0.0179527788276672
5.85075378417969,0.708049833774567,-0.0170621662254333
5.90075302124023,0.693552017211914,-0.0315599827880859
5.9507520198822,0.672872602939606,-0.0522393970603943
6.00074934959412,0.705522179603577,-0.0195898203964233
6.05075430870056,0.685811996459961,-0.039300003540039
6.10075116157532,0.697900056838989,-0.0272119431610107
6.15075421333313,0.689138472080231,-0.0359735279197693
6.20074939727783,0.681686580181122,-0.0434254198188782
6.25075101852417,0.677639722824097,-0.0474722771759033
6.30075192451477,0.694769978523254,-0.0303420214767456
6.35076212882996,0.680730521678925,-0.0443814783210754
6.4007580280304,0.693185269832611,-0.0319267301673889
6.45075273513794,0.691731572151184,-0.0333804278488159
6.50075197219849,0.69619745016098,-0.0289145498390198
6.55075025558472,0.688339591026306,-0.0367724089736938
6.6007571220398,0.715135037899017,-0.00997696210098265
6.65075635910034,0.689308702945709,-0.0358032970542907
6.70075726509094,0.702012300491333,-0.023099699508667
6.7507541179657,0.697572648525238,-0.0275393514747619
6.80075836181641,0.706373453140259,-0.0187385468597412
6.85076689720154,0.690421938896179,-0.0346900611038208
6.9007625579834,0.700100243091583,-0.0250117569084167
6.95076036453247,0.692189991474152,-0.0329220085258484
7.00076127052307,0.700165688991547,-0.0249463110084533
7.05076599121094,0.685903608798981,-0.0392083912010193
7.10076856613159,0.701514661312103,-0.0235973386878967
7.15076398849487,0.690565943717957,-0.0345460562820434
7.20076966285706,0.693132877349854,-0.0319791226501465
7.25076651573181,0.694481790065765,-0.0306302099342346
7.30076289176941,0.703911304473877,-0.021200695526123
7.35077285766602,0.691574454307556,-0.0335375456924438
7.40080380439758,0.701776623725891,-0.0233353762741089
7.45081543922424,0.69123387336731,-0.0338781266326904
7.50079941749573,0.713026463985443,-0.0120855360145569
7.55082082748413,0.690696954727173,-0.0344150452728271
7.60081672668457,0.704120874404907,-0.0209911255950928
7.65082931518555,0.68811696767807,-0.0369950323219299
7.70082092285156,0.700283586978912,-0.0248284130210876
7.75083112716675,0.688313364982605,-0.036798635017395
7.80082559585571,0.704330444335938,-0.0207815556640625
7.85083985328674,0.722298800945282,-0.002813199054718
7.90083026885986,0.702143251895905,-0.0229687481040954
7.9508318901062,0.680376887321472,-0.0447351126785278
8.00083589553833,0.703976809978485,-0.0211351900215149
8.05078983306885,0.688300311565399,-0.0368116884346008
8.10082221031189,0.703924417495728,-0.0211875825042724
8.15083503723145,0.687174022197723,-0.0379379778022766
8.20081901550293,0.698175013065338,-0.0269369869346618
8.2507905960083,0.685667872428894,-0.0394441275711059
8.30079483985901,0.708691596984863,-0.0164204030151367
8.35079836845398,0.688824117183685,-0.0362878828163147
8.400794506073,0.703518450260162,-0.0215935497398376
8.4507896900177,0.68840503692627,-0.0367069630737304
8.50079298019409,0.706072270870209,-0.0190397291297912
8.55079126358032,0.688549101352692,-0.0365628986473083
8.60079646110535,0.701986134052277,-0.0231258659477234
8.6507933139801,0.687802612781525,-0.0373093872184753
8.70078992843628,0.704120874404907,-0.0209911255950928
8.7507905960083,0.684986889362335,-0.0401251106376648
8.80079364776611,0.699641883373261,-0.0254701166267395
8.85080742835999,0.694337785243988,-0.0307742147560119
8.90079689025879,0.698240578174591,-0.0268714218254089
8.95079255104065,0.686270356178284,-0.0388416438217163
9.00079488754272,0.711991906166077,-0.0131200938339233
9.05079483985901,0.688706278800964,-0.0364057211990356
9.10079789161682,0.697913110256195,-0.0271988897438049
9.15079832077026,0.693015038967133,-0.0320969610328674
9.20080280303955,0.705509126186371,-0.0196028738136291
9.25079798698425,0.688195526599884,-0.0369164734001159
9.30080413818359,0.704513788223267,-0.0205982117767334
9.35081005096436,0.692700743675232,-0.032411256324768
9.40080499649048,0.696957111358643,-0.0281548886413574
9.45079779624939,0.681594848632813,-0.0435171513671875
9.50079822540283,0.700650274753571,-0.0244617252464294
9.55080676078796,0.68953138589859,-0.0355806141014099
9.60080432891846,0.701187312602997,-0.0239246873970032
9.6508092880249,0.699000120162964,-0.0261118798370361
9.70080161094666,0.697232127189636,-0.0278798728103637
9.75079822540283,0.68416178226471,-0.0409502177352905
9.80080604553223,0.695673644542694,-0.0294383554573059
9.85081100463867,0.685838162899017,-0.0392738371009826
9.90080451965332,0.701475322246552,-0.0236366777534485
9.95079827308655,0.687802612781525,-0.0373093872184753
10.0008022785187,0.694625914096832,-0.0304860859031677
10.0508103370667,0.682302117347717,-0.0428098826522827
10.1008017063141,0.700584828853607,-0.0245271711463928
10.1508142948151,0.691823244094849,-0.0332887559051513
10.2008020877838,0.697140455245972,-0.0279715447540283
10.250804901123,0.689348042011261,-0.035763957988739
10.3008024692535,0.691993474960327,-0.0331185250396728
10.3508212566376,0.689295649528503,-0.0358163504714966
10.4008069038391,0.692085206508637,-0.0330267934913635
10.4508056640625,0.686833500862122,-0.0382784991378784
10.5008027553558,0.699903845787048,-0.0252081542129516
10.5508081912994,0.693106710910797,-0.0320052890892029
10.6008105278015,0.702942192554474,-0.0221698074455261
10.6508240699768,0.687278747558594,-0.0378332524414062
10.7008187770844,0.7056924700737,-0.0194195299263
10.7508182525635,0.688169360160828,-0.0369426398391723
10.8008182048798,0.706438958644867,-0.018673041355133
10.8508281707764,0.698567986488342,-0.0265440135116577
10.900815486908,0.703819692134857,-0.0212923078651428
10.9508137702942,0.694730699062347,-0.0303813009376526
11.0008087158203,0.70266717672348,-0.0224448232765198
11.0508115291595,0.693905591964722,-0.0312064080352783
11.1008117198944,0.694625914096832,-0.0304860859031677
11.1508135795593,0.692936480045319,-0.0321755199546814
11.2008104324341,0.695568859577179,-0.029543140422821
11.2508282661438,0.695608139038086,-0.029503860961914
11.3008530139923,0.697166562080383,-0.0279454379196167
11.3508539199829,0.68963611125946,-0.0354758887405395
11.4008452892303,0.704592347145081,-0.0205196528549194
11.4508633613586,0.692268550395966,-0.0328434496040344
11.5008566379547,0.696760594844818,-0.0283514051551819
11.5508682727814,0.694285392761231,-0.0308266072387695
11.6008660793304,0.700283586978912,-0.0248284130210876
11.6508791446686,0.693682909011841,-0.0314290909881592
11.7008655071259,0.699288308620453,-0.0258236913795471
11.7508795261383,0.687763333320618,-0.0373486666793823
11.8008720874786,0.694573521614075,-0.0305384783859253
11.8508687019348,0.687462091445923,-0.0376499085540771
11.9008572101593,0.697074949741364,-0.0280370502586365
11.9508655071259,0.697742879390717,-0.0273691206092834
12.0008358955383,0.699864506721497,-0.0252474932785034
12.0508408546448,0.688797950744629,-0.0363140492553711
12.1008291244507,0.697271347045898,-0.0278406529541015
12.1508345603943,0.674954950809479,-0.0501570491905212
12.2008285522461,0.702051639556885,-0.0230603604431152
12.2508327960968,0.689439654350281,-0.0356723456497192
12.3008279800415,0.655022084712982,-0.0700899152870178
12.3508381843567,0.695031881332397,-0.0300801186676025
12.4008357524872,0.70265406370163,-0.0224579362983703
12.4508364200592,0.681529402732849,-0.0435825972671509
12.5008327960968,0.696132004261017,-0.0289799957389831
12.5508317947388,0.708534419536591,-0.0165775804634094
12.6008431911469,0.702104032039642,-0.0230079679603576
12.6508390903473,0.696786820888519,-0.0283251791114807
12.7008438110352,0.700453817844391,-0.0246581821556091
12.7508392333984,0.693892478942871,-0.0312195210571289
12.8008389472961,0.712070465087891,-0.0130415349121094
12.8508422374725,0.696511805057526,-0.0286001949424743
12.9008388519287,0.71649706363678,-0.00861493636322019
12.950835943222,0.675151407718658,-0.0499605922813415
13.0008401870728,0.737988471984863,0.0128764719848633
13.050835609436,0.694429397583008,-0.0306826024169922
13.100839138031,0.700309813022614,-0.0248021869773865
13.1508436203003,0.694547355175018,-0.0305646448249817
13.200843334198,0.70053243637085,-0.0245795636291504
13.2508444786072,0.694927096366882,-0.0301849036331177
13.3008494377136,0.715370774269104,-0.00974122573089598
13.3508594036102,0.701226532459259,-0.0238854675407409
13.4008572101593,0.70539116859436,-0.0197208314056396
13.4508502483368,0.718631863594055,-0.0064801364059448
13.5008413791657,0.698541760444641,-0.0265702395553589
13.5508594512939,0.700912177562714,-0.0241998224372864
13.6008932590485,0.703099370002747,-0.0220126299972534
13.6508948802948,0.704081594944,-0.0210304050559997
13.7008900642395,0.715200543403626,-0.00991145659637449
13.7508974075317,0.696210563182831,-0.0289014368171692
13.8008940219879,0.703937530517578,-0.0211744694824219
13.8508818149567,0.710158348083496,-0.0149536519165039
13.9008860588074,0.697192788124085,-0.0279192118759155
13.950896024704,0.709149956703186,-0.0159620432968139
14.0008969306946,0.713118195533752,-0.0119938044662475
14.0509221553803,0.72275722026825,-0.00235477973175047
14.1009001731873,0.707329511642456,-0.0177824883575439
14.1508941650391,0.716889977455139,-0.00822202254486082
14.200879573822,0.718330562114716,-0.0067814378852844
14.2508642673492,0.707931935787201,-0.0171800642127991
14.300874710083,0.716811418533325,-0.00830058146667478
14.3508739471436,0.70367556810379,-0.0214364318962097
14.4008648395538,0.709202349185944,-0.0159096508140564
14.4508631229401,0.70033597946167,-0.0247760205383301
14.5008661746979,0.712135910987854,-0.012976089012146
14.5508661270142,0.702221870422363,-0.0228901295776367
14.600869178772,0.711389422416687,-0.013722577583313
14.6508708000183,0.707106828689575,-0.0180051713104248
14.7008690834045,0.706032931804657,-0.019079068195343
14.7508642673492,0.706032931804657,-0.019079068195343
14.8008694648743,0.707120001316071,-0.0179919986839294
14.8508703708649,0.705587685108185,-0.0195243148918152
14.9008696079254,0.705351948738098,-0.0197600512619018
14.9508664608002,0.716208934783936,-0.00890306521606443
15.0008673667908,0.6992227435112,-0.0258892564888
15.0508689880371,0.706006705760956,-0.0191052942390442
15.1008687019348,0.712096691131592,-0.0130153088684082
15.1508665084839,0.712450265884399,-0.0126617341156006
15.2008676528931,0.713628947734833,-0.0114830522651672
15.2508704662323,0.706046044826508,-0.0190659551734924
15.30087018013,0.707355737686157,-0.0177562623138428
15.3508749008179,0.70973926782608,-0.0153727321739197
15.4009113311768,0.707565307617188,-0.0175466923828125
15.4509210586548,0.711363196372986,-0.0137488036270141
15.5009255409241,0.709372580051422,-0.0157394199485779
15.55091547966,0.709346354007721,-0.015765645992279
15.6009123325348,0.707394957542419,-0.0177170424575805
15.6509082317352,0.711572766304016,-0.0135392336959839
15.7008781433105,0.704173266887665,-0.0209387331123352
15.7508790493011,0.718867480754852,-0.00624451924514768
15.8008801937103,0.703387498855591,-0.0217245011444092
15.8508810997009,0.702588617801666,-0.0225233821983337
15.9008793830872,0.706465184688568,-0.0186468153114319
15.9508798122406,0.711690664291382,-0.0134213357086181
16.0008840560913,0.702994585037231,-0.0221174149627685
16.0508794784546,0.705142378807068,-0.0199696211929321
16.1008868217468,0.703714907169342,-0.0213970928306579
16.1508843898773,0.704566180706024,-0.0205458192939758
16.2008895874023,0.701056301593781,-0.0240556984062195
16.2508816719055,0.708167672157288,-0.0169443278427124
16.3008925914764,0.70871776342392,-0.0163942365760803
16.350891828537,0.702614784240723,-0.0224972157592773
16.4008965492249,0.701619446277618,-0.0234925537223816
16.4508938789368,0.705417394638062,-0.0196946053619385
16.5008924007416,0.709791660308838,-0.0153203396911621
16.5508935451508,0.707290172576904,-0.0178218274230957
16.600893497467,0.69659036397934,-0.0285216360206604
16.6508872509003,0.706137716770172,-0.0189742832298279
16.7008919715881,0.70599365234375,-0.01911834765625
16.7508947849274,0.707669973373413,-0.0174420266265869
16.8009123802185,0.703963696956635,-0.0211483030433655
16.8509352207184,0.712109744548798,-0.0130022554512024
16.9009215831757,0.699563264846802,-0.0255487351531982
16.9509043693542,0.710786998271942,-0.0143250017280578
17.0009136199951,0.704107820987701,-0.0210041790122986
17.0509023666382,0.70781409740448,-0.01729790259552
17.1009092330933,0.702169477939606,-0.0229425220603943
17.1509022712708,0.711219191551209,-0.0138928084487915
17.2009012699127,0.709307134151459,-0.0158048658485412
17.2509038448334,0.712149083614349,-0.0129629163856506
17.3009042739868,0.698777496814728,-0.0263345031852722
17.3509156703949,0.708207011222839,-0.0169049887771606
17.4009048938751,0.701540887355804,-0.0235711126441955
17.4509029388428,0.711769223213196,-0.0133427767868042
17.5009059906006,0.705771028995514,-0.0193409710044861
17.5509054660797,0.717544794082642,-0.00756720591735838
17.6009051799774,0.696551144123077,-0.0285608558769226
17.6509103775024,0.71205735206604,-0.0130546479339599
17.7009105682373,0.698987007141113,-0.0261249928588867
17.7509071826935,0.715501725673676,-0.00961027432632444
17.8009068965912,0.697939276695251,-0.0271727233047485
17.8509302139282,0.710931062698364,-0.0141809373016357
17.9009125232697,0.710092902183533,-0.0150190978164673
17.9509086608887,0.711677551269531,-0.0134344487304687
18.0009133815765,0.698607206344605,-0.0265047936553955
18.0509386062622,0.709713101387024,-0.0153988986129761
18.1009528636932,0.701593279838562,-0.023518720161438
18.1509475708008,0.706805646419525,-0.0183063535804748
18.2009465694427,0.697454750537872,-0.0276572494621277
18.2509188652039,0.712437093257904,-0.0126749067420959
18.3009157180786,0.696957111358643,-0.0281548886413574
18.3509163856506,0.711769223213196,-0.0133427767868042
18.4009222984314,0.696551144123077,-0.0285608558769226
18.4509172439575,0.712463319301605,-0.0126486806983948
18.5009167194366,0.701999247074127,-0.0231127529258728
18.55091547966,0.708887994289398,-0.0162240057106018
18.6009237766266,0.697363078594208,-0.0277489214057922
18.6509170532227,0.709699988365173,-0.0154120116348266
18.7009170055389,0.7043696641922,-0.0207423358078003
18.7509174346924,0.710603654384613,-0.0145083456153869
18.8009235858917,0.697939276695251,-0.0271727233047485
18.850937128067,0.702509999275208,-0.0226020007247925
18.900919675827,0.697677433490753,-0.0274345665092468
18.9509191513062,0.70942497253418,-0.0156870274658203
19.0009188652039,0.703387498855591,-0.0217245011444092
19.0509250164032,0.70508998632431,-0.0200220136756897
19.1009202003479,0.694390177726746,-0.0307218222732544
19.1509253978729,0.706792593002319,-0.0183194069976806
19.2009224891663,0.702536225318909,-0.0225757746810913
19.2509219646454,0.710564374923706,-0.0145476250762939
19.3009223937988,0.713327765464783,-0.0117842345352173
19.3509347438812,0.711900174617767,-0.0132118253822326
19.4009628295898,0.701462268829346,-0.0236497311706543
19.4509565830231,0.717793583869934,-0.0073184161300659
19.5009500980377,0.698685824871063,-0.0264261751289367
19.5509564876556,0.718068659305573,-0.00704334069442747
19.6009292602539,0.700912177562714,-0.0241998224372864
19.6509277820587,0.713720560073853,-0.0113914399261474
19.7009267807007,0.714388489723206,-0.0107235102767944
19.7509303092957,0.705679357051849,-0.0194326429481506
19.8009283542633,0.697821438312531,-0.0272905616874695
19.8509383201599,0.721919000148773,-0.00319299985122679
19.9009335041046,0.710354804992676,-0.0147571950073242
19.9509296417236,0.717950761318207,-0.00716123868179319
20.0009336471558,0.704998373985291,-0.0201136260147095
20.0509719848633,0.725494384765625,0.000382384765625021
20.1009740829468,0.717832922935486,-0.00727907706451414
20.1509687900543,0.719391405582428,-0.005720594417572
20.2009708881378,0.709883332252502,-0.0152286677474975
20.2509362697601,0.728768527507782,0.003656527507782
20.3009400367737,0.703688681125641,-0.0214233188743591
20.3509457111359,0.72287505865097,-0.00223694134902952
20.4009385108948,0.712830066680908,-0.0122819333190918
20.4509358406067,0.72266548871994,-0.00244651128005979
20.5009353160858,0.711022734642029,-0.0140892653579712
20.5509378910065,0.723307251930237,-0.00180474806976316
20.6009392738342,0.710878670215607,-0.0142333297843933
20.6509418487549,0.714650452136993,-0.0104615478630066
20.7009415626526,0.706412792205811,-0.0186992077941894
20.7509386539459,0.725166976451874,5.49764518738005E-05
20.8009393215179,0.725441992282867,0.000329992282867453
20.8509545326233,0.71964019536972,-0.00547180463027952
20.900942325592,0.717793583869934,-0.0073184161300659
20.9509439468384,0.728087544441223,0.00297554444122317
21.0009384155273,0.720648646354675,-0.00446335364532469
21.0509517192841,0.739180266857147,0.0140682668571472
21.1009409427643,0.715423166751862,-0.00968883324813841
21.1509418487549,0.73074609041214,0.00563409041213991
21.2009432315826,0.71135014295578,-0.01376185704422
21.250944852829,0.73529052734375,0.01017852734375
21.3009436130524,0.707486689090729,-0.0176253109092712
21.350949048996,0.73640376329422,0.01129176329422
21.4009492397308,0.711887121200562,-0.0132248787994385
21.4509553909302,0.726921916007996,0.00180991600799563
21.500988483429,0.707578361034393,-0.0175336389656067
21.5509920120239,0.723019123077393,-0.0020928769226074
21.6009998321533,0.721539199352264,-0.00357280064773557
21.6509938240051,0.735120296478272,0.0100082964782715
21.7009959220886,0.711651384830475,-0.0134606151695251
21.7509956359863,0.734399974346161,0.00928797434616091
21.8009874820709,0.705640077590942,-0.0194719224090576
21.8509891033173,0.731780648231506,0.00666864823150637
21.9009847640991,0.714087307453156,-0.0110246925468445
21.9509541988373,0.73205578327179,0.00694378327178957
22.0009548664093,0.709071338176727,-0.0160406618232727
22.0509805679321,0.736220419406891,0.0111084194068909
22.1009912490845,0.708482027053833,-0.016629972946167
22.1509873867035,0.727485060691834,0.00237306069183352
22.2009878158569,0.707224726676941,-0.0178872733230591
22.2509567737579,0.728257775306702,0.00314577530670168
22.30095744133,0.712424039840698,-0.0126879601593017
22.3509624004364,0.731427073478699,0.00631507347869875
22.4009578227997,0.720124781131744,-0.00498721886825559
22.4509563446045,0.721526145935059,-0.00358585406494138
22.5009560585022,0.711454927921295,-0.0136570720787048
22.55095744133,0.727079033851624,0.00196703385162356
22.6009602546692,0.711153745651245,-0.0139582543487549
