position1,position2,t(s),position1_corr,position2_corr
1.480712890625,1.46728515625,0.444338321685791,-1.077880859375,-1.06689453125
1.480712890625,1.46728515625,0.956283807754517,-1.077880859375,-1.06689453125
1.480712890625,1.46728515625,1.21223950386047,-1.077880859375,-1.06689453125
1.480712890625,1.46728515625,1.46819305419922,-1.077880859375,-1.06689453125
1.480712890625,1.46728515625,1.72446084022522,-1.077880859375,-1.06689453125
1.480712890625,1.46728515625,1.98025178909302,-1.077880859375,-1.06689453125
1.480712890625,1.46728515625,2.23617506027222,-1.077880859375,-1.06689453125
1.480712890625,1.46728515625,2.49218392372131,-1.077880859375,-1.06689453125
1.480712890625,1.46728515625,2.74815654754639,-1.077880859375,-1.06689453125
1.480712890625,1.466064453125,3.00399088859558,-1.077880859375,-1.068115234375
1.480712890625,1.46728515625,3.26000070571899,-1.077880859375,-1.06689453125
1.480712890625,1.46728515625,3.51595568656921,-1.077880859375,-1.06689453125
1.480712890625,1.46728515625,3.77192449569702,-1.077880859375,-1.06689453125
1.480712890625,1.46728515625,4.02784729003906,-1.077880859375,-1.06689453125
1.480712890625,1.46728515625,4.28384804725647,-1.077880859375,-1.06689453125
1.480712890625,1.46728515625,4.53975820541382,-1.077880859375,-1.06689453125
1.480712890625,1.46728515625,4.79575133323669,-1.077880859375,-1.06689453125
1.480712890625,1.46728515625,5.051677942276,-1.077880859375,-1.06689453125
1.484375,1.4697265625,5.56360578536987,-1.07421875,-1.064453125
1.492919921875,1.473388671875,5.81959867477417,-1.065673828125,-1.060791015625
1.49658203125,1.480712890625,6.07560300827026,-1.06201171875,-1.053466796875
1.50146484375,1.4892578125,6.3315281867981,-1.05712890625,-1.044921875
1.50634765625,1.500244140625,6.5874457359314,-1.05224609375,-1.033935546875
1.51611328125,1.510009765625,6.84337902069092,-1.04248046875,-1.024169921875
1.52587890625,1.517333984375,7.09939575195313,-1.03271484375,-1.016845703125
1.5380859375,1.522216796875,7.61151647567749,-1.0205078125,-1.011962890625
1.539306640625,1.522216796875,7.86735343933106,-1.019287109375,-1.011962890625
1.54052734375,1.5234375,8.12332105636597,-1.01806640625,-1.0107421875
1.54052734375,1.5234375,8.3792462348938,-1.01806640625,-1.0107421875
1.541748046875,1.5234375,8.63517022132874,-1.016845703125,-1.0107421875
1.541748046875,1.5234375,8.89110565185547,-1.016845703125,-1.0107421875
1.541748046875,1.5234375,9.14707660675049,-1.016845703125,-1.0107421875
